split,path,readable,fps,duration_sec,width,height,error
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\342227\342227010\342227010.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\210053\2100532048\2100532048.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\411021\4110212034\4110212034.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\310072\3100721012\3100721012.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\400018\4000182059\4000182059.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\111003\1110032059\1110032059.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\110012\1100121025\1100121025.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\205601\2056010247\2056010247.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\310070\3100702006\3100702006.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\226051\2260510114\2260510114.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\310074\3100742048\3100742048.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\110013\1100131009\1100131009.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\522129\5221290162\5221290162.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\110007\1100072068\1100072068.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\210060\2100602032\2100602032.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\414081\414081023\414081023.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\334463\3344630241\3344630241.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\310072\3100721055\3100721055.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\210051\2100511044\2100511044.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\310073\3100731008\3100731008.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\110006\1100061016\1100061016.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\400018\4000181067\4000181067.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\334463\3344630181\3344630181.avi,True,30.0,10.0,640,480,
train,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Train\310078\3100781057\3100781057.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\410026\4100262004\4100262004.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\400033\4000331006\4000331006.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\556463\5564630275\5564630275.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\400033\4000331060\4000331060.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\410025\4100252001\4100252001.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\500039\5000391064\5000391064.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\410024\4100242011\4100242011.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\400022\4000222014\4000222014.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\410032\4100321032\4100321032.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\410026\4100262069\4100262069.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\410025\4100251064\4100251064.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\826382\8263820120\8263820120.mp4,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\769862\7698620144\7698620144.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\410024\4100241020\4100241020.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\556463\5564630142\5564630142.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\410032\4100321004\4100321004.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\769862\769862014\769862014.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\400022\4000222031\4000222031.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\769862\7698620244\7698620244.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\410029\4100292027\4100292027.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\410028\4100281015\4100281015.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\591292\5912920148\5912920148.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\556463\5564630115\5564630115.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\769862\7698620250\7698620250.avi,True,30.0,10.0,640,480,
validation,C:\Users\athas\Downloads\DAiSEE_cv\DAiSEE\DataSet\Validation\410019\4100191007\4100191007.avi,True,30.0,10.0,640,480,
