split,path,readable,fps,duration_sec,width,height,error
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\C-48U5oDuvw.003.mp4,True,21.0,15.286,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\9c66Lb7e1BQ.003.mp4,True,25.0,15.32,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\y7MEVu2nyes.000.mp4,True,29.97,15.315,1280,720,
train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\KahSwziq8F0.004.mp4,True,29.97,15.315,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\MCr6FmFAhak.002.mp4,True,25.0,15.32,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\m2uxFfpb5xU.000.mp4,True,25.0,15.32,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\GntxKkVigvE.001.mp4,True,30.0,15.3,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\XvV4YdhpC2w.003.mp4,True,30.0,15.3,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\bBqZyG-9ksM.000.mp4,True,25.0,15.32,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\9RfE2-aTvaM.005.mp4,True,30.0,15.3,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\FogaU_yB9aY.003.mp4,True,29.97,15.315,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\uDm7iZuX5DQ.003.mp4,True,29.807,15.332,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\L5kpy0SA7os.002.mp4,True,28.133,15.32,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\PQBGDxYGaXU.003.mp4,True,25.0,15.32,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\_QXI4n_FRN4.003.mp4,True,29.97,15.315,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\mxLRr3YqgMU.002.mp4,True,30.0,15.3,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\3S72dDIm1fM.003.mp4,True,25.0,15.32,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\gCd5bIDNAbI.003.mp4,True,23.976,15.307,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\1tPH6PNeOSk.000.mp4,True,29.97,15.315,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\1jC4vsQsjwM.000.mp4,True,25.0,15.32,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\NVvKBE5FTMk.001.mp4,True,23.976,15.307,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\cvHqtadNJDo.002.mp4,True,30.0,15.3,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\o7J2fWIJndQ.002.mp4,True,29.97,15.315,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\hnWMsZEQWt4.000.mp4,True,23.976,15.307,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\jKHaHWuaU14.005.mp4,True,30.0,15.3,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\sHafPWyXs6k.001.mp4,True,29.0,15.31,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\dOFnHXRLEdM.002.mp4,True,29.97,15.315,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\mEQBB6XsJFk.004.mp4,True,29.97,15.315,1280,720,
validation,C:\Users\athas\Downloads\Chalearn\first-impressions\val\LBKbubsgpE8.005.mp4,True,30.0,13.633,1280,720,
